,Bsu,Bst,Lvi,Amo,Mlu
Bsu,,0.1715,0.2147,0.3091,0.2326
Bst,,,0.2991,0.3399,0.2058
Lvi,,,,0.2795,0.3943
Amo,,,,,0.4289
Mlu,,,,,
